"-- Manual","-- Handmatig"
"-- none","-- geen"
"General configuration","Algemene configuratie"
"Googleplus Username","Googleplus Gebruikersnaam"
"Googleplus landingpage","Googleplus Landingspage"
"Hidden - Json","Verbogen - Json"
"Hidden: Json","Verbogen in Header: Json"
"Hide if no price","Laat niet zien als er geen prijs is"
"Image Url","Afbeelding Url"
"In stock","Op voorraad"
"Instagram Username","Instagram Gebruikersnaam"
"Instagram landingpage","Instagram Landingspage"
"Length of Description","Lengte van omschrijving"
"Licence","Vergunning"
"License Key","Vergunning sleutel"
"Linkedin landingpage","Linkedin Landingspage"
"Linkedin username","Linkedin Gebruikersnaam"
"Locality","Locatie"
"Location in Footer","Locatie in voettekst"
"Location on Productpage","Locatie op Productpagina"
"Logo Url","Logo Url"
"Magento Reviews","Magento Beoordelingen"
"Magmodules","Magmodules"
"Magmodules: Shopreview","Magmodules: Winkelbeoordelingen"
"Markup","Markup"
"Model Attribute","Model Attribuut"
"New","Nieuw"
"No","Neee"
"Our %s has been rated %s based on %s individual customer review(s)","Onze %s zijn beoordeeld %s gebaseerd op %s individuele klant beoordelingen(s)"
"Out of","Vanuit"
"Out of Stock","Niet op voorraad"
"Please select the extra currencies for display","Indien beschikbaar, gebruik meerdere valuta om mee te nemen in de snippets"
"Pinterest Rich Pins","Pinterest Rich Pins"
"Pinterest Sitename","Pinterest Site naam"
"Position","Positie"
"Postal Code","Postcode"
"Price Type","Prijs Type"
"Price:","Prijs:"
"Prices","Prijzen"
"Prices from %s to %s","Prijzen van %s tot %s"
"Product Description Block","Product Omschrijving blok"
"Product Grid","Product Grid"
"Product Page Configuration","Product Pagina Configuratie"
"Product Review Block (Modern Theme)","Product Beoordelings Blok (Modern Thema)"
"Product Rich Snippets: General","Product Rich Snippets: Algemeen"
"RDF - Data-vocabulary","RDF - Data-vocabulaire"
"Rating: %s based on %s review(s)","Beoordeling: %s gebaseerd op %s beoordeling(en)"
"Refurbished","Hersteld"
"Reviews","Beoordelingen"
"Reviews / Votes","Beoordelingen / Stemmen"
"Rich Snippets Suite","Rich Snippets Suite"
"Schema.org","Schema.org"
"Schema.org Rich Snippets","Schema.org Rich Snippets"
"Schema: Breadcrumbs","Schema: Breadcrumbs"
"Schema: Offer","Schema: Aanbod"
"Schema: Organization","Schema: Organisatie"
"Schema: Rating","Schema: Beoordeling"
"Schema: Site Name","Schema: Site Naam"
"Server Name","Server Naam"
"Shop Rating Data","Shop Beoordeling Data"
"Show Condition","Conditie weergeven"
"Show Stock","Voorraad weergeven"
"Sitelinks Search Box","Sitelinks Zoekbalk"
"Hide snippets if there is no price","Verberg snippets indien er geen prijs is"
"Sitename","Sitenaam"
"Social Integration","Sociale Integratie"
"Social Media","Social Media"
"Source","Bron"
"Starting at:","Vanaf:"
"Tax Percentage","Belasting Percentage"
"Telephone","Telefoon"
"The image must be a minimum size of 120px by 120px and must be less than 1MB in file size.","De afbeelding moet een minimale afmeting hebben van 120px bij 120px. De bestandsgrootte mag niet meer zijn dan 1 mb."
"The breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, like this: <strong>Yourstore </strong>› <strong>Books </strong>› <strong>Authors</strong> › <strong>Stephen King.</strong> When you activate the Breadcrumb, Google can use it to understand and present the information on your pages in our search results.","De Breadcrumbs zijn een set van links (broodkruimels) dat een gebruiker kan helpen met begrijpen en navigeren door de site's hierarchie, zoals dit: <strong>Jouwwinkel</strong>› <strong>Boeken </strong>› <strong>Autheurs</strong> › <strong>Stephen King.</strong> Wanneer u het broodkruim activeert, kan Google dit gebruiken om de actuele informatie op uw pagina's te gebruiken in zoekresultaten."
"This Schema allows you to mark up the contact information on your site for your business or organization. This rich text formatting is referenced by Google Local as a source for its data.","Deze snippet staat u toe om contact informatie te markeren op uw site voor uw bedrijf of organisatie. Deze opsomming wordt gebruikt door Google als een bron voor de bedrijfsdata."
"Twitter Cards","Twitter Product Cards"
"Twitter Company Link","Twitter Link"
"Twitter Username","Twitter Gebruikersnaam"
"Type of display","Type weergave"
"Use multiple currencies","Gebruik meerdere valuta"
"Unique Type","Uniek Type"
"Use structured data markup on your public website to indicate the preferred name you want Google to display in Search results. You can also provide more than one possible name for your site, and let Google Search algorithms choose between them.","Gebruik gestructureerde data markeringen op uw publieke website om de geprefereerde naam aan te tonen welke u wilt dat Google weergeeft bij zoekresultaten. U kunt ook meer dan 1 naam voor uw site opgeven en Googles algoritmes laten kiezen tussen de opgegeven keuzes."
"Used","Gebruikt"
"Visible - Complete schema block","Zichtbaar - Compleet schema blok"
"Visible - Summary block in footer","Zichtbaar - Samenvatting blok in voettekst"
"Visible: Block (content)","Zichtbaar: Blok (inhoud)"
"Visible: Block (footer)","Zichtbaar: Blok (voettekst)"
"Visible: Sidebar (recommend)","Zichtbaar: Zijbalk (aanbevolen)"
"Votes","Stemmen"
"Yes, same for all","Ja, dezelfde voor allemaal"
"Yes, use attribute","Ja, gebruik attribuut"
"Yotpo Reviews","Yotpo Beoordelingen"
"out of 100","van de 100"
"out of 5","van de 5"
"Open Graph: Title","Open Graph: Titel"
"Open Graph: Description","Open Graph: Omschrijving"
"Open Graph: Logo","Open Graph: Logo"
"Force detailed product breadcrumbs.","Verplicht gedetailleerde breadcrumbs."
"Be reasonbly similar to your domain name. Be a natural name used to refer to the site, such as "Magmodules," rather than "Magmodules, Inc.". Be unique to your site and not used by some other site not be a misleading description of your site.","Wees redelijk hetzelfde als uw domeinnaam. Laat een natuurlijk naar gebruiken om te refereren aan de site, zoals "Magmodules," in plaats van "Magmodules, Inc.". Wees uniek voor uw site and niet gebruikt in een andere site voor een misleidende omschrijving van uw site."
"The breadcrumb trail is a set of links (breadcrumbs) that can help a user understand and navigate your site's hierarchy, like this: <strong>Yourstore </strong>› <strong>Books </strong>› <strong>Authors</strong> › <strong>Stephen King.</strong> When you activate the Breadcrumb, Google can use it to understand and present the information on your pages in our search results.","Het breadcrumb pad is een set van links (broodkruimels) dat een gebruiker kan helpen met begrijpen en navigeren door de site's hierarchie, zoals dit: <strong>Jouwwinkel </strong>› <strong>Boeken </strong>› <strong>Auteurs</strong> › <strong>Stephen King.</strong> Wanneer u de breadcrumbs activeert, kan Google dit gebruiken om de actuele informatie op uw pagina's te gebruiken in zoekresultaten."
"This will overwrite your custom breadcrumbs.phtml, see our knowledgebase for more information.","Dit zal uw standaard breadcrumbs.phtml overschrijven, zie onze knowledgebase voor meer informatie."
"Select the markup method for the Breadcrumb, you can use the traditional Schema.org markup or the RDFa structure, more information about these markups can be found right <a href="https://developers.google.com/structured-data/" target="_blank">here</a>.","Selecteer de markeermethode voor de breadcrumbs, u kunt de standaard Schema.org markering of de RDFa structuur gebruiken, meer informatie over deze markeringen zijn te vinden rechts <a href="https://developers.google.com/structured-data/" target="_blank">here</a>."
"Replace the Home breadcrumb with a cutom title.","Vervang de Home breadcrumbs met een handmatige titel."
"Enter the appropriate social media link.","Voeg de juiste social media link in."
"Can be used for: Organization Links.","Kan gebruikt worden voor: Organisatie Links."
"Can be used for: Rich Pins (product / category) &amp; Organization Links.","Kan gebruikt worden voor: Rich Pins (product / categorie) &amp; Organisatie Links."
"An improved search box within the search results. When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages.","Een verbeterde zoekbalk in de zoek resultaten. Wanneer afgebeeld, zal dit het makkelijker maken voor gebruikers om specifieke inhoud van uw site te bereiken, direct door uw eigen site-zoekmachine paginas."
"Enable the Rich Snippets on your product page to show your rich product data in Google, Yahoo and BING.","Activeer de Rich Snippets op uw product pagina om uw product data te laten zien in Google, Yahoo and BING."
"The extension makes a little summary about your product. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to place the markup manually. Read more about this setting in our Knowledgebase.","De extensie maakt een kleine samenvatting over uw product. Om de the rich snippets op de beste manier te implementeren, raden wij het aan om deze opsomming weer te geven op uw productpagina met JSON-LD of het complete schema blok. U kunt er ook voor kiezen om het blok manueel toe te voegen in de lay-out. Lees hier meer over in onze Knowledgebase."
"Select the location of the product summary block.","Selecteer de locatie van het product sammenvattingsblok."
"Select if you want to show the product summary before or after the content.","Selecteer of u de product sammen vatting wilt weergeven voor of na de inhoud."
"Select the location of the product summary.","Selecteer de locatie van de productsamenvatting."
"Select the position of the product summary block.","Selecteer de locatie van het product sammenvattingsblok."
"Use default Magento product pricing or custom attribute. Only change this to attribute if you have overwritten the price function in Magento!","Gebruik de standaard Magento product prijzen of standaard attributen. Verander deze attributen alleen als u de prijs functie in Magento heeft overschreven."
"Select the attribute (decimal) used for pricing.","Selecteer het attribuut (decimaal) gebruikt voor prijzen."
"When the tax percentage is 21% use 21.","Als het belasting percentage 21% is gebruik 21."
"Display in stock or out of stock in the search results.","Geef weer of de producten wel of niet op voorraad zijn in de zoekresultaten."
"Select the attribute (text) used for product-description.","Selecteer het attribuut (text) gebruikt voor de productomschrijving."
"Display review score (stars) in the search results.","Geef beoordelingsscore weer (sterren) in de zoekresultaten."
"Select if you want to show the product reviews or product votes.","Selecteer of u de product beoordelingen of stemmen weer wilt geven."
"Select the rating out of 100 or out of 5 (stars).","Selecteer de beoordeling van de 100 of van de 5 (sterren)."
"Display the description of your product in search result.","Geef de beschrijving van uw product weer in de zoekresultaten."
"Use 0 for full length.","Gebruik 0 voor volledige lengte."
"Display the productbrand in search results.","Geef de merknaam weer in zoekresultaten."
"Select the attribute used for brand (default: Manufacturer).","Selecteer de attribuut gebruikt voor het merk (standaard: Leverancier)."
"Display brand in search result.","Geef de merknaam weer in zoekresultaten."
"Select the attribute used for color (default: Color).","Selecteer het attribuut gebruikt voor kleur (standaard: Kleur)."
"Display the model in the search results.","Geef model weer in zoekresultaten."
"Select the attribute used for model (default: model).","Selecteer het attribuut gebruikt voor model (Standaard: Model)."
"Use unique product id (EAN, UPC, ISBN, etc).","Gebruik uniek product id (EAN, UPC, ISBN, etc)."
"Select the attribute used as unique product id (default: SKU).","Selecteer het attribuut gebruikt als uniek product id (default: SKU)."
"The Global Trade Item Number (GTIN) is a 14-digit number which includes various EAN/UCC numbering structures and is used to uniquely identify a product worldwide. EAN/UCC product identification numbers allow a unique identifying GTIN number to be derived in the system. All EAN/UCC numbers are considered as 14-digit numbers, right justified and zero filled where necessary.","The Global Trade Item Number (GTIN) is een 14-cijferig nummer welke verschillende EAN/UCC nummerings structuren heeft en wordt wereldwijd gebruikt om producten te identificeren. EAN / UCC productidentificatie-nummers zijn ontstaan vanuit een identificerend GTIN. Alle EAN / UCC nummers worden opgebouwd als 14-cijferige nummers."
"Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s).","Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s)."
"The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data.","The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage with JSON-LD or the visible markup. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data."
"Select if you want to show the category summary before of after the content.","Selecteer of u de categorie samenvatting voor of na de inhoud wilt weergeven."
"Select if you want to manually add the code or if you want the code added automatically.","Selecteer of de code handmatig wilt toevoegen, of dat dit automatisch gebeurd."
"Select the location of the Rich Snippet summary.","Selecteer de locatie van de  Rich Snippet samenvatting."
"Select if you want to show the category summary before of after the content.","Selecteer of u de categorie samenvatting voor of na de inhoud wilt weergeven."
"Select how you want to show your category price in your front-end and search engines.","Selecteer hoe u de uw prijscategorie wilt weergeven in zoekmachines."
"Price is a recommended fields so we recommend that you don't use the rich snippets block without a price.","Prijs is een aangeraden toevoeging dus we raden u aan dat u de rich snippets blok zonder prijs niet gebruikt."
"Display the description of your category in search result.","Geef de omschrijving van uw categorie in uw zoekresultaten."
"Select if you want to show the product reviews or product votes.","Selecteer of u de productbeoordelingen of stemmen wilt weergeven."
"Select the rating out of 100 or out of 5 (stars).","Selecteer de beoordeling van de 100 of van de 5 (sterren)."
"Display the category description in the search results.","Geef de omschrijving van uw categorie in uw zoekresultaten."
"Easily Connect your Shopreview data with the Rich Snippets. Whenever you don't have Shopreviews you can disable this function or use our Shopreview extension.","Integreer winkelbeoordelingen in de Rich Snippets en toon je rating als bedrijfsinformatie, selecteer een beoordelingsplatform of maak gebruik van onze winkelbeoordeling extensie" 
"When there isn't any price available we recommend hiding it.","Indien geen prijs beschikbaar raden wij het aan om deze te verbergen."
"Generate Rich Snippets for your categegory page e.g. <br>Our cell phones has been rated 2.4/5 based on 12 individual customer review(s).","Genereer Rich Snippets voor de categorie pagina als; <br>Onze Digitale Camera's zijn beoordeeld met 2.4/5 gebaseerd op 12 individuele klantbeoordelingen."
