"-- Manual","-- Manuel"
"Additional Information Block","Bloc d'informations supplémentaires"
"Prices,"Prix"
"Prices from %s to %s","Prix à partir de %s à %s"
"Product Description Block","description du bloc produit"
"Product Grid","Produit en grille"
"Product Page Configuration","Page de configuration du produit"
"Product Review Block (Modern Theme)","Bloc d'évaluation du produit (Thème moderne)"
"Rating: %s based on %s review(s)","Notation : %s basée sur %s évaluation(s)"
"Reviews","Evaluations"
"Reviews / Votes","Evaluations / Votes"
"Rich Snippets Suite","Suite Rich Snippets"
"Schema.org Rich Snippets","Schema.org Rich Snippets"
"Server Name","Nom du serveur"
"Select the location of the product summary block","Sélectionnez l'emplacement du bloc récapitulatif du produit"
"Select if you want to show the product summary before of after the content","Sélectionnez si vous voulez montrer le résumé du produit avant ou après le contenu"
"Select the location of the product summary","Sélectionnez l'emplacement du récapitulatif du produit"
"Select if you want to manually add the code or if you want the code added automatically","Sélectionner si vous souhaitez ajouter manuellement le code ou si vous voulez ajouter le code automatiquement"
"Select if you want to show the category summary before of after the content","Sélectionner si vous voulez montrer le résumé de la catégorie avant ou après le contenu"
"Select the location of the Rich Snippet summary","Sélectionner l'emplacement du résumé Rich Snippet"
"Select the attribute (text) used for product-description","Sélectionner l'attribut (texte) utilisé pour la description du produit"
"Select if you want to show the product reviews or product votes","Sélectionnez si vous voulez montrer les critiques des produits ou les votes des produits"
"Select the rating out of 100 or out of 5 (stars)","Sélectionner la note en pourcentage ou sur 5 étoiles"
"Select the attribute used for brand (default: Manufacturer)","Sélectionner l'attribut utilisé pour la marque (par défaut : Fabricant)"
"Select the attribute used for color (default: Color)","Sélectionner l'attribut utilisé pour la couleur (par défaut : Couleur)"
"Select the attribute used for model (default: model)","Sélectionnez l'attribut utilisé pour le modèle (par défaut : modèle)"
"Select the attribute used as unique product id (default: SKU)","Sélectionnez l'attribut utilisé pour l'identifiant unique du produit (par défaut : SKU)"
"Sitename","Nom du site"
"Source","Source"
"Starting at:","Commençant à :"
"Twitter Cards","Twitter Cards"
"Twitter Username","Nom d'utilisateur Twitter"
"The Global Trade Item Number (GTIN) is a 14-digit number which includes various EAN/UCC numbering structures and is used to uniquely identify a product worldwide. EAN/UCC product identification numbers allow a unique identifying GTIN number to be derived in the system. All EAN/UCC numbers are considered as 14-digit numbers, right justified and zero filled where necessary.","Le Global Trade Item Number (GTIN) est un numéro à 14 chiffres qui comprend diverses structures de numérotation EAN / UCC et est utilisé pour identifier de façon unique un produit dans le monde entier. Le numéro d'identification du produit EAN / UCC permet d'avoir un numéro unique d'identification dans le système. Tous les numéros EAN / UCC sont considérés comme des numéros à 14 chiffres, incluant des zéros en début de numérotation si nécessaire."
"The extension makes a little summary about your category. To implement the rich snippets the best way, we recommend to show this summary markup on your productpage or in your footer. You can also choose to use hidden tags, it's still working but it can take some more time for crawling your data.","L'extension fait un petit résumé de votre catégorie. Pour mettre en œuvre les extraits enrichis de la meilleure manière, nous recommandons de montrer ce résumé balisage sur votre page de produit ou dans votre pied de page. Vous pouvez également choisir d'utiliser des balises cachées, ça fonctionne toujours mais cela peut prendre plus de temps pour l'analyse de vos données."
"Type of display","Type d'affichage"
"Unique Type","Type unique"
"Use unique product id (EAN, UPC, ISBN, etc)","Utiliser le produit unique id (EAN, UPC, ISBN, etc)"
"Use Breadcrumbs","Utiliser le fil d'ariane"
"Visible - Complete schema block (recommended)","Visible - Bloc complet du schéma (recommandé)"
"Visible - Summary block in footer","Visible - Bloc Résumé en pied de page"
"Votes","Votes"
"Yotpo Reviews","Avis Yotpo"
"out of 100","pourcentage"
"out of 5","5 étoiles"
